Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,Class
87994.0,1210.314,507.22,222.1872,88702.0,334.7199,0.899,0.992,0.7643,0.7549,2.2828,0.6599,URGUP_SIVRISI
83725.0,1081.774,403.3418,264.6498,84390.0,326.4996,0.7546,0.9921,0.7482,0.8991,1.5241,0.8095,CERCEVELIK
84635.0,1124.284,432.9209,250.5192,85438.0,328.2691,0.8156,0.9906,0.702,0.8414,1.7281,0.7583,URGUP_SIVRISI
90346.0,1173.761,462.2198,250.0358,91444.0,339.1638,0.8411,0.988,0.7412,0.8241,1.8486,0.7338,CERCEVELIK
66894.0,1032.502,413.9267,206.4048,67682.0,291.8426,0.8668,0.9884,0.6249,0.7885,2.0054,0.7051,URGUP_SIVRISI
67736.0,990.204,366.0779,237.09,68405.0,293.6735,0.7619,0.9902,0.7286,0.8681,1.544,0.8022,CERCEVELIK
55879.0,918.363,353.1879,203.1549,56514.0,266.7346,0.818,0.9888,0.6792,0.8326,1.7385,0.7552,CERCEVELIK
72923.0,1045.774,412.9929,226.0588,73590.0,304.7104,0.8369,0.9909,0.7392,0.8379,1.8269,0.7378,CERCEVELIK
85170.0,1178.698,495.0486,219.5439,85963.0,329.305,0.8963,0.9908,0.7037,0.7704,2.2549,0.6652,URGUP_SIVRISI
106782.0,1316.331,546.451,250.3631,107393.0,368.7263,0.8889,0.9943,0.6527,0.7744,2.1826,0.6748,URGUP_SIVRISI
72537.0,1079.889,445.9191,209.0018,73318.0,303.9029,0.8834,0.9893,0.6387,0.7816,2.1336,0.6815,URGUP_SIVRISI
86206.0,1120.902,432.5198,254.7998,87038.0,331.3018,0.8081,0.9904,0.7244,0.8622,1.6975,0.766,CERCEVELIK
73223.0,1052.517,417.8197,224.9094,74367.0,305.3366,0.8428,0.9846,0.6679,0.8306,1.8577,0.7308,CERCEVELIK
102990.0,1288.831,517.1858,254.9975,104350.0,362.1201,0.87,0.987,0.6066,0.7791,2.0282,0.7002,CERCEVELIK
88750.0,1120.577,422.0802,269.0306,89741.0,336.1547,0.7705,0.989,0.7334,0.8882,1.5689,0.7964,CERCEVELIK
79101.0,1076.597,410.1806,246.4886,79803.0,317.3555,0.7993,0.9912,0.7036,0.8576,1.6641,0.7737,CERCEVELIK
108803.0,1399.308,602.1861,230.3186,109682.0,372.1993,0.924,0.992,0.7678,0.6983,2.6146,0.6181,URGUP_SIVRISI
54128.0,871.458,324.0113,214.0405,54742.0,262.5222,0.7507,0.9888,0.728,0.8957,1.5138,0.8102,URGUP_SIVRISI
84606.0,1215.638,523.4148,207.0624,85274.0,328.2129,0.9184,0.9922,0.7652,0.7195,2.5278,0.6271,URGUP_SIVRISI
95914.0,1203.477,468.41,269.2576,98178.0,349.4589,0.8183,0.9769,0.7389,0.8322,1.7396,0.7461,CERCEVELIK
75486.0,1195.25,515.5444,188.0288,76527.0,310.019,0.9311,0.9864,0.5924,0.664,2.7418,0.6013,URGUP_SIVRISI
107244.0,1239.755,474.7988,288.5734,108061.0,369.5231,0.7941,0.9924,0.7399,0.8768,1.6453,0.7783,CERCEVELIK
97062.0,1181.124,441.0742,281.3946,97926.0,351.544,0.7701,0.9912,0.7266,0.8743,1.5675,0.797,CERCEVELIK
82798.0,1110.093,436.5554,242.3814,83578.0,324.6871,0.8317,0.9907,0.6954,0.8443,1.8011,0.7437,CERCEVELIK
65593.0,975.947,376.7856,222.4426,66217.0,288.9907,0.8071,0.9906,0.7633,0.8654,1.6939,0.767,CERCEVELIK
64286.0,1028.115,428.4965,191.4254,64847.0,286.097,0.8947,0.9913,0.7221,0.7643,2.2385,0.6677,URGUP_SIVRISI
90230.0,1204.874,484.9969,238.3787,91291.0,338.946,0.8709,0.9884,0.7395,0.781,2.0346,0.6989,CERCEVELIK
73972.0,1082.562,431.518,219.077,75032.0,306.8942,0.8615,0.9859,0.6127,0.7932,1.9697,0.7112,CERCEVELIK
80105.0,1128.587,452.3831,225.9261,80976.0,319.3632,0.8664,0.9892,0.6118,0.7903,2.0023,0.706,CERCEVELIK
64783.0,1069.99,394.0979,214.5254,66488.0,287.2008,0.8389,0.9744,0.7678,0.7111,1.8371,0.7288,URGUP_SIVRISI
80705.0,1208.614,515.5391,200.4272,81824.0,320.557,0.9213,0.9863,0.5118,0.6943,2.5722,0.6218,URGUP_SIVRISI
81573.0,1099.547,414.9502,250.9049,82629.0,322.2762,0.7965,0.9872,0.7406,0.8479,1.6538,0.7767,CERCEVELIK
82957.0,1136.564,455.1978,232.6637,83816.0,324.9987,0.8595,0.9898,0.7019,0.807,1.9565,0.714,CERCEVELIK
86511.0,1131.452,430.6553,256.771,87397.0,331.8874,0.8028,0.9899,0.7453,0.8492,1.6772,0.7707,CERCEVELIK
66347.0,1016.962,406.9426,208.3972,66906.0,290.6469,0.8589,0.9916,0.6305,0.8062,1.9527,0.7142,CERCEVELIK
96680.0,1224.787,473.195,261.8592,97931.0,350.8515,0.8329,0.9872,0.7643,0.8099,1.8071,0.7415,URGUP_SIVRISI
74778.0,1055.4,420.6346,227.288,75378.0,308.5617,0.8414,0.992,0.7505,0.8436,1.8507,0.7336,URGUP_SIVRISI
80113.0,1167.923,493.7861,207.149,80841.0,319.3791,0.9077,0.991,0.5677,0.738,2.3837,0.6468,URGUP_SIVRISI
71531.0,1006.504,380.7039,240.1967,72073.0,301.7882,0.7758,0.9925,0.7183,0.8873,1.585,0.7927,CERCEVELIK
79254.0,1094.756,437.6951,231.5245,79858.0,317.6623,0.8486,0.9924,0.7652,0.831,1.8905,0.7258,URGUP_SIVRISI
71563.0,1099.323,470.8907,194.1545,72156.0,301.8557,0.911,0.9918,0.6749,0.7441,2.4253,0.641,URGUP_SIVRISI
96861.0,1289.908,551.9162,225.6145,97573.0,351.1798,0.9126,0.9927,0.7317,0.7315,2.4463,0.6363,URGUP_SIVRISI
85506.0,1126.425,435.6517,251.6945,86268.0,329.954,0.8162,0.9912,0.7446,0.8468,1.7309,0.7574,CERCEVELIK
88358.0,1319.888,581.4884,193.9067,89445.0,335.4115,0.9428,0.9878,0.7375,0.6374,2.9988,0.5768,URGUP_SIVRISI
86344.0,1164.476,472.9563,233.3873,87249.0,331.5669,0.8698,0.9896,0.7207,0.8002,2.0265,0.7011,CERCEVELIK
101280.0,1317.008,553.3534,235.2002,102285.0,359.1012,0.9052,0.9902,0.5442,0.7338,2.3527,0.649,URGUP_SIVRISI
92063.0,1193.471,467.8854,252.2589,93035.0,342.3715,0.8422,0.9896,0.6998,0.8122,1.8548,0.7317,CERCEVELIK
67582.0,1022.181,414.3306,209.1852,68201.0,293.3395,0.8632,0.9909,0.6701,0.8128,1.9807,0.708,CERCEVELIK
69132.0,961.531,342.3836,257.6274,69616.0,296.6843,0.6586,0.993,0.7391,0.9396,1.329,0.8665,CERCEVELIK
71802.0,1089.569,460.163,198.9511,72416.0,302.3593,0.9017,0.9915,0.5987,0.76,2.3129,0.6571,URGUP_SIVRISI
62105.0,989.876,394.7356,202.8029,62653.0,281.202,0.8579,0.9913,0.6651,0.7965,1.9464,0.7124,CERCEVELIK
72106.0,1131.138,484.9191,193.0989,72800.0,302.9987,0.9173,0.9905,0.6187,0.7082,2.5112,0.6248,URGUP_SIVRISI
70661.0,1023.814,389.9238,232.1742,71433.0,299.9473,0.8034,0.9892,0.7399,0.8471,1.6794,0.7692,CERCEVELIK
67146.0,1022.85,409.7415,209.5989,67903.0,292.3918,0.8593,0.9889,0.677,0.8065,1.9549,0.7136,CERCEVELIK
62205.0,954.843,369.5236,215.2829,62966.0,281.4283,0.8128,0.9879,0.7432,0.8574,1.7165,0.7616,CERCEVELIK
75565.0,1103.473,456.6652,211.2349,76167.0,310.1812,0.8866,0.9921,0.7174,0.7798,2.1619,0.6792,URGUP_SIVRISI
55993.0,947.464,387.8392,185.1229,56543.0,267.0066,0.8787,0.9903,0.7421,0.7838,2.095,0.6884,URGUP_SIVRISI
68772.0,1047.819,423.7982,208.8385,69678.0,295.9108,0.8702,0.987,0.6664,0.7871,2.0293,0.6982,CERCEVELIK
91062.0,1205.28,487.908,238.8273,91869.0,340.5051,0.872,0.9912,0.7435,0.7877,2.0429,0.6979,CERCEVELIK
89885.0,1264.825,543.0948,212.0397,90934.0,338.2974,0.9206,0.9885,0.5199,0.7061,2.5613,0.6229,URGUP_SIVRISI
73594.0,1083.481,437.0082,215.1703,74455.0,306.1091,0.8704,0.9884,0.6077,0.7878,2.031,0.7005,CERCEVELIK
93985.0,1231.823,485.719,249.0043,95250.0,345.9269,0.8586,0.9867,0.6118,0.7783,1.9506,0.7122,CERCEVELIK
96210.0,1196.28,475.1594,258.6376,97054.0,349.9977,0.8389,0.9913,0.6683,0.8448,1.8372,0.7366,URGUP_SIVRISI
86012.0,1120.919,436.3853,251.6692,86654.0,330.9288,0.8169,0.9926,0.7278,0.8602,1.734,0.7583,CERCEVELIK
69181.0,998.679,383.5814,231.0066,69895.0,296.7895,0.7983,0.9898,0.724,0.8717,1.6605,0.7737,CERCEVELIK
91503.0,1230.347,512.1994,228.6649,92361.0,341.3286,0.8948,0.9907,0.5762,0.7596,2.24,0.6664,URGUP_SIVRISI
74432.0,1102.102,454.2106,210.2381,75133.0,307.847,0.8864,0.9907,0.7084,0.7701,2.1605,0.6778,CERCEVELIK
109033.0,1328.504,551.7349,252.454,109892.0,372.5924,0.8892,0.9922,0.7462,0.7763,2.1855,0.6753,URGUP_SIVRISI
65388.0,984.962,385.8947,216.5011,66018.0,288.5387,0.8278,0.9905,0.7463,0.847,1.7824,0.7477,CERCEVELIK
